TenureGroup,PreferredLoginDevice,用户数,流失人数,流失率,平均订单数,样本提示
1-6个月,Computer,495,149,0.301010101010101,2.874747474747475,可观察
1-6个月,Mobile Phone,1147,276,0.24062772449869224,2.6015693112467306,可观察
13-24个月,Computer,409,21,0.05134474327628362,3.54278728606357,可观察
13-24个月,Mobile Phone,1058,74,0.06994328922495274,3.767485822306238,可观察
7-12个月,Computer,484,61,0.12603305785123967,2.7520661157024793,可观察
7-12个月,Mobile Phone,1100,95,0.08636363636363636,2.7454545454545456,可观察
两年以上老用户,Computer,97,0,0.0,4.762886597938144,可观察
两年以上老用户,Mobile Phone,332,0,0.0,3.1897590361445785,可观察
新用户,Computer,149,93,0.6241610738255033,1.8724832214765101,可观察
新用户,Mobile Phone,359,179,0.4986072423398329,1.8969359331476323,可观察
